-4.0,1338.1,-1.9,-3457.7,16373.5,1344.7,0.0,-41.8,-0.2,27.9,0.5,22.9
-2.1,1338.1,4.3,-3458.0,16377.7,1345.1,-0.1,-41.8,0.2,27.9,0.0,23.0
-0.1,1338.2,2.4,-3458.0,16374.3,1345.5,0.3,-41.8,0.9,27.8,-0.3,23.0
2.3,1338.0,4.8,-3458.4,16373.9,1346.0,0.7,-41.9,0.6,27.8,-0.5,23.0
1.1,1338.0,-0.8,-3458.3,16376.9,1346.4,0.9,-41.9,0.5,27.8,-0.7,23.1
2.7,1337.9,1.7,-3458.5,16377.5,1346.7,0.7,-41.9,0.3,27.8,-0.5,23.1
3.9,1337.7,1.9,-3458.5,16381.9,1346.7,0.5,-41.9,-0.1,27.8,-0.9,23.2
5.5,1337.4,-1.3,-3458.5,16384.5,1346.7,0.7,-42.0,0.1,27.8,-0.8,23.2
2.9,1337.4,-1.2,-3458.5,16391.5,1346.2,0.7,-42.0,-0.4,27.8,0.4,23.2
0.9,1337.4,-1.9,-3458.4,16384.7,1346.2,0.3,-42.0,-0.3,27.8,1.7,23.1
0.8,1337.5,-5.6,-3458.1,16386.3,1345.9,-0.5,-42.0,-0.7,27.9,3.9,22.8
0.0,1337.5,-2.4,-3458.2,16390.3,1345.6,-0.1,-42.0,-0.1,27.9,3.6,22.6
0.5,1337.5,-0.5,-3458.3,16382.1,1345.8,-0.9,-41.9,-0.1,27.9,4.4,22.4
4.3,1337.3,-2.0,-3458.1,16383.6,1345.6,-0.1,-41.9,1.1,27.8,4.1,22.2
0.5,1337.4,-2.3,-3458.1,16389.7,1345.2,-1.4,-41.8,0.1,27.8,2.0,22.1
-0.3,1337.4,-2.4,-3458.0,16388.3,1345.0,-0.7,-41.8,-0.7,27.9,-0.3,22.2
0.0,1337.4,2.0,-3458.2,16380.9,1345.3,-0.9,-41.8,-0.3,27.9,-1.9,22.3
1.1,1337.4,2.5,-3458.3,16380.9,1345.3,-0.5,-41.7,-0.7,27.9,-2.7,22.5
2.3,1337.3,-0.9,-3458.1,16383.2,1345.2,-0.9,-41.7,-1.6,28.0,-2.0,22.6
4.9,1337.0,0.9,-3458.2,16381.6,1345.4,-0.4,-41.7,-0.6,28.0,-3.3,22.8
1.2,1337.1,0.7,-3458.3,16376.0,1345.9,0.5,-41.7,-2.0,28.2,-2.1,22.8
3.9,1336.9,0.5,-3458.3,16380.5,1346.0,0.6,-41.7,-0.7,28.2,-0.5,22.8
-0.5,1337.0,5.1,-3458.7,16374.3,1346.6,0.7,-41.8,0.2,28.2,1.4,22.7
2.0,1336.8,2.3,-3458.7,16381.1,1346.6,0.9,-41.8,0.9,28.1,1.0,22.7
1.5,1336.8,0.8,-3458.7,16383.6,1346.7,0.9,-41.9,1.6,28.0,1.7,22.6
-0.9,1336.8,2.7,-3458.8,16381.1,1346.9,1.4,-41.9,1.4,27.9,0.9,22.6
-0.4,1336.8,-2.4,-3458.5,16381.7,1346.9,1.1,-42.0,1.2,27.9,1.4,22.5
-0.8,1336.9,0.4,-3458.6,16386.8,1346.6,0.5,-42.0,1.0,27.9,0.7,22.4
-0.3,1336.9,-0.7,-3458.6,16388.1,1346.3,0.5,-42.0,1.8,27.7,-2.9,22.6
-0.7,1337.0,-3.6,-3458.4,16390.4,1346.1,0.1,-42.0,0.1,27.8,-2.8,22.8
-0.7,1337.1,-3.3,-3458.2,16389.7,1345.8,-0.5,-42.0,-0.9,27.9,-1.9,22.8
-4.4,1337.4,2.5,-3458.4,16390.0,1345.4,-0.7,-41.9,-0.3,27.9,0.7,22.8
-2.5,1337.5,-1.9,-3458.2,16390.0,1345.2,-1.9,-41.8,-0.9,27.9,-0.5,22.8
4.0,1337.1,2.7,-3458.4,16388.1,1345.0,-1.1,-41.8,-0.7,27.9,-1.2,22.9
2.0,1337.1,1.1,-3458.5,16390.1,1344.7,-0.5,-41.8,0.1,27.9,-2.6,23.1
1.3,1337.1,0.1,-3458.5,16389.7,1344.4,-0.1,-41.8,-0.1,27.9,-3.3,23.2
-1.3,1337.3,-0.5,-3458.5,16387.7,1344.3,-0.3,-41.7,0.8,27.9,-2.0,23.3
-1.1,1337.3,1.1,-3458.6,16385.9,1344.2,-0.1,-41.7,1.3,27.8,-2.8,23.4
8.0,1336.8,-0.1,-3458.6,16379.9,1344.5,-0.4,-41.7,1.7,27.7,-3.2,23.6
5.2,1336.7,0.4,-3458.5,16383.3,1344.4,-0.9,-41.6,0.9,27.7,-3.9,23.8
2.9,1336.6,0.4,-3458.5,16381.9,1344.5,-0.4,-41.6,0.9,27.6,-1.3,23.9
-1.1,1336.8,-1.3,-3458.3,16386.0,1344.3,-0.5,-41.6,-0.3,27.6,-0.6,23.9
2.8,1336.5,3.1,-3458.6,16379.6,1344.7,-0.9,-41.6,-0.3,27.7,1.3,23.8
4.0,1336.3,2.4,-3458.6,16382.1,1344.9,-1.2,-41.5,-0.9,27.7,3.3,23.6
6.0,1336.0,1.7,-3458.7,16378.9,1345.3,-0.9,-41.5,0.1,27.7,4.8,23.3
-1.5,1336.4,-1.5,-3458.6,16379.6,1345.6,-1.0,-41.4,-1.2,27.7,5.4,23.1
-3.9,1336.6,1.3,-3458.7,16380.1,1345.7,-0.9,-41.3,-1.1,27.8,4.8,22.9
2.8,1336.5,4.5,-3459.0,16381.1,1345.7,-1.1,-41.3,0.1,27.8,4.1,22.6
2.8,1336.4,4.8,-3459.2,16375.1,1346.3,-0.7,-41.3,-1.2,27.9,-1.1,22.8
-0.3,1336.4,-1.5,-3459.0,16379.1,1346.5,-0.5,-41.2,-0.6,27.9,-3.3,23.0
-0.8,1336.5,1.1,-3459.1,16384.1,1346.4,-0.2,-41.2,-0.9,27.9,-4.7,23.3
-2.9,1336.6,2.1,-3459.1,16383.2,1346.6,-0.1,-41.2,-0.3,27.9,-3.5,23.4
2.8,1336.5,3.1,-3459.2,16381.6,1346.8,0.1,-41.2,0.1,27.9,-4.5,23.7
1.7,1336.5,3.9,-3459.4,16384.1,1346.7,1.5,-41.3,0.6,27.9,-1.7,23.7
1.1,1336.4,-0.4,-3459.4,16382.3,1346.8,2.8,-41.5,0.8,27.8,-1.8,23.8
2.1,1336.3,-9.6,-3458.6,16387.6,1346.5,1.8,-41.6,1.1,27.8,0.3,23.8
-0.8,1336.4,-5.2,-3458.5,16386.9,1346.3,1.8,-41.7,1.6,27.7,2.9,23.6
-1.5,1336.4,-4.0,-3458.3,16380.5,1346.6,2.3,-41.8,1.3,27.6,4.5,23.3
2.1,1336.3,-3.9,-3458.1,16385.9,1346.5,2.3,-41.9,0.7,27.6,4.3,23.1
-3.9,1336.5,-2.7,-3458.1,16382.8,1346.6,1.5,-41.9,0.5,27.6,4.6,22.9
-3.6,1336.6,-3.3,-3457.9,16387.9,1346.1,0.9,-42.0,-0.1,27.6,2.7,22.8
-4.9,1336.8,-5.7,-3457.6,16380.7,1346.6,0.7,-42.0,-0.5,27.6,2.1,22.7
-4.3,1337.0,0.0,-3457.7,16383.7,1346.6,0.8,-42.1,-1.5,27.7,0.9,22.7
-1.9,1337.1,-1.6,-3457.7,16381.2,1346.9,-0.2,-42.0,-2.5,27.9,0.3,22.7
-3.1,1337.3,-1.1,-3457.8,16387.6,1346.6,0.2,-42.0,-1.0,27.9,-1.7,22.8
-4.0,1337.4,2.5,-3458.0,16388.9,1346.3,0.5,-42.0,-0.9,27.9,-0.1,22.8
0.0,1337.3,0.3,-3457.9,16384.3,1346.3,-1.0,-42.0,-1.1,28.0,0.8,22.7
0.8,1337.2,0.7,-3457.9,16380.3,1346.5,-0.1,-42.0,-0.9,28.0,-1.4,22.9
3.6,1336.9,-1.2,-3457.8,16381.5,1346.6,-0.8,-41.9,-0.3,28.0,0.0,22.8
1.1,1336.9,1.5,-3458.0,16381.2,1346.7,-1.9,-41.8,-0.2,28.1,-2.3,23.0
-0.4,1336.9,3.3,-3458.2,16385.9,1346.5,-0.9,-41.8,-0.1,28.1,0.7,22.9
2.7,1336.8,2.5,-3458.3,16382.1,1346.6,-1.3,-41.7,-0.5,28.1,2.0,22.8
2.4,1336.8,0.3,-3458.3,16385.1,1346.5,-1.7,-41.6,0.3,28.0,1.0,22.8
2.7,1336.5,5.5,-3458.7,16390.3,1346.3,-0.7,-41.6,0.5,28.0,1.9,22.6
6.7,1336.2,1.5,-3458.7,16391.1,1345.9,-0.1,-41.6,0.0,28.0,2.5,22.5
-0.5,1336.3,1.6,-3458.8,16389.6,1345.7,-0.1,-41.7,-0.2,28.0,3.1,22.3
1.1,1336.1,3.5,-3459.0,16394.1,1345.1,0.8,-41.7,-0.8,28.1,2.5,22.2
4.4,1335.9,2.0,-3459.1,16393.7,1344.6,0.7,-41.7,0.8,28.0,0.3,22.2
3.1,1335.8,-0.8,-3458.9,16387.5,1344.5,0.8,-41.8,-0.6,28.1,-2.2,22.4
1.3,1335.9,1.1,-3459.0,16394.0,1343.9,1.6,-41.9,-0.5,28.1,-2.8,22.7
-3.2,1336.2,-2.1,-3458.8,16389.5,1343.9,0.6,-41.9,-0.6,28.1,-4.1,22.9
0.1,1336.1,-4.4,-3458.4,16384.5,1344.0,-0.1,-41.9,0.5,28.1,-4.2,23.1
1.9,1336.1,-5.5,-3458.2,16385.1,1344.0,0.1,-41.9,0.0,28.1,-3.5,23.3
1.9,1336.0,-0.8,-3458.2,16383.5,1344.0,-0.2,-41.8,0.9,28.0,-2.2,23.4
5.3,1335.7,2.5,-3458.3,16378.9,1344.2,0.5,-41.9,0.9,28.0,-1.3,23.5
1.6,1335.8,1.5,-3458.3,16378.1,1344.4,-0.3,-41.8,0.8,27.9,0.9,23.4
1.7,1335.9,3.9,-3458.5,16381.3,1344.5,0.2,-41.8,1.3,27.8,1.8,23.3
4.0,1335.7,2.8,-3458.5,16382.4,1344.7,0.9,-41.9,1.9,27.8,0.3,23.3
